English;Italiano
United States;Stati Uniti
Canada;Canada
Algeria;Algeria
Argentina;Argentina
Australia;Australia
Austria;Austria
Bahamas;Bahamas
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Belarus;Bielorussia
Belgium;Belgio
Belize;Belize
Bermuda;Bermuda
Bolivia;Bolivia
Bosnia-Herzegovina;Bosnia-Erzegovina
Brazil;Brasile
Brunei;Brunei
Bulgaria;Bulgaria
Burundi;Burundi
Chile;Cile
China;Cina
Colombia;Colombia
Costa Rica;Costa Rica
Croatia;Croazia
Cuba;Cuba
Cyprus;Cipro
Czech Republic;Repubblica Ceca
Denmark;Danimarca
Djibouti;Gibuti
Dominican Republic;Repubblica Domenicana
East Timor;Timor Est
Ecuador;Ecuador
Egypt;Egitto
El Salvador;El Salvador
Equatorial Guinea;Guinea Equatoriale
Eritrea;Eritrea
Estonia;Estonia
Ethiopia;Etiopia
Fiji;Fiji
Finland;Finlandia
France;Francia
French Guiana;Guiana Francese
Gabon;Gabon
Gambia;Gambia
Georgia;Georgia
Germany;Germania
Ghana;Ghana
Greece;Grecia
Grenada;Grenada
Guatemala;Guatemala
Guyana;Guyana
Haiti;Haiti
Honduras;Honduras
Hong Kong;Hong Kong
Hungary;Ungheria
Iceland;Islanda
India;India
Indonesia;Indonesia
Iran;Iran
Iraq;Iraq
Ireland;Irlanda
Israel;Israele
Italy;Italia
Ivory Coast;Costa d’Avorio
Jamaica;Giamaica
Japan;Giappone
Jordan;Giordania
Kampuchea;Cambogia
Kenya;Kenia
Democtratic Republic of Korea;Republica democratica di Corea
South Korea;Corea del Sud
Kuwait;Kuwait
Laos;Laos
Latvia;Lettonia
Lebanon;Libano
Liberia;Liberia
Libya;Libia
Liechtenstein;Liechtenstein
Lithuania;Lituania
Luxembourg;Lussemburgo
Macedonia;Macedonia
Madagascar;Madagascar
Malaysia;Malesia
Mali;Malì
Malta;Malta
Martinique;Martinica
Mauritania;Mauritania
Mauritius;Mauritius
Mexico;Messico
Moldova;Moldavia
Monaco;Principato di Monaco
Mongolia;Mongolia
Montserrat;Montserrat
Morocco;Marocco
Mozambique;Mozambico
Myanmar;Myanmar
Namibia;Namibia
Nepal;Nepal
Netherland Antilles;Antille Olandesi
Netherlands;Paesi Bassi
New Zealand;Nuova Zelanda
Nicaragua;Nicaragua
Nigeria;Nigeria
Norway;Norvegia
Oman;Oman
Pakistan;Pakistan
Panama;Panama
Paraguay;Paraguay
Peru;Perù
Philippines;Filippine
Poland;Polonia
Portugal;Portogallo
Qatar;Qatar
Romania;Romania
Rwanda;Rwanda
Saudi Arabia;Arabia Saudita
Senegal;Senegal
Sierre Leone;Sierra Leone
Singapore;Singapore
Slovakia;Slovacchia
Slovenia;Slovenia
Somali Republic;Repubblica Somala
South Africa;Sud Africa 
Spain;Spagna
Sri Lanka;Sri Lanka
Sudan;Sudan
Swaziland;Swaziland
Sweden;Svezia
Switzerland;Svizzera
Syria;Siria
Taiwan;Taiwan
Tanzania;Tanzania
Thailand;Tailandia
Trinidad & Tobago;Trinidad & Tobago
Tunisia;Tunisia
Turkey;Turchia
Uganda;Uganda
Ukraine;Ucraina
United Arab Emirates;Emirati Arabi Uniti
United Kingdom;Regno Unito
Uruguay;Uruguay
Venezuela;Venezuela
Vietnam;Vietnam
Western Sahara;Sahara Occidentale
Yemen;Yemen
Yugoslavia;Yugoslavia
Zaire;Zaire
Zambia;Zambia
Zimbabwe;Zimbabwe
